,state,joint_action
7216,"Players: ((6, 2) facing (0, -1) holding None, (1, 3) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 4]
7217,"Players: ((6, 2) facing (0, -1) holding None, (1, 3) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 4]
7218,"Players: ((6, 2) facing (0, -1) holding None, (1, 3) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 4]
7219,"Players: ((6, 2) facing (0, -1) holding None, (1, 3) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 4]
7220,"Players: ((6, 2) facing (0, -1) holding None, (1, 3) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 4]
7221,"Players: ((6, 2) facing (0, -1) holding None, (1, 3) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[3 4]
7222,"Players: ((5, 2) facing (-1, 0) holding None, (1, 3) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 4]
7223,"Players: ((5, 2) facing (-1, 0) holding None, (1, 3) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 4]
7224,"Players: ((5, 2) facing (-1, 0) holding None, (1, 3) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 4]
7225,"Players: ((5, 2) facing (-1, 0) holding None, (1, 3) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[0 2]
7226,"Players: ((5, 2) facing (0, -1) holding None, (2, 3) facing (1, 0) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[5 4]
7227,"Players: ((5, 2) facing (0, -1) holding onion@(5, 2), (2, 3) facing (1, 0) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 3]
7228,"Players: ((5, 2) facing (0, -1) holding onion@(5, 2), (1, 3) facing (-1, 0) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[1 4]
7229,"Players: ((5, 3) facing (0, 1) holding onion@(5, 3), (1, 3) facing (-1, 0) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[0 3]
7230,"Players: ((5, 2) facing (0, -1) holding onion@(5, 2), (1, 3) facing (-1, 0) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 0]
7231,"Players: ((5, 2) facing (0, -1) holding onion@(5, 2), (1, 2) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[0 0]
7232,"Players: ((5, 2) facing (0, -1) holding onion@(5, 2), (1, 1) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[3 4]
7233,"Players: ((5, 2) facing (-1, 0) holding onion@(5, 2), (1, 1) facing (0, -1) holding None), Objects: [], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[5 0]
7234,"Players: ((5, 2) facing (-1, 0) holding None, (1, 1) facing (0, -1) holding None), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 4]
7235,"Players: ((5, 2) facing (-1, 0) holding None, (1, 1) facing (0, -1) holding None), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[0 3]
7236,"Players: ((5, 2) facing (0, -1) holding None, (1, 1) facing (-1, 0) holding None), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 4]
7237,"Players: ((5, 2) facing (0, -1) holding None, (1, 1) facing (-1, 0) holding None), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[5 5]
7238,"Players: ((5, 2) facing (0, -1) holding onion@(5, 2), (1, 1) facing (-1, 0) holding onion@(1, 1)), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[3 1]
7239,"Players: ((5, 2) facing (-1, 0) holding onion@(5, 2), (1, 2) facing (0, 1) holding onion@(1, 2)), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[5 1]
7240,"Players: ((5, 2) facing (-1, 0) holding None, (1, 3) facing (0, 1) holding onion@(1, 3)), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 4]
7241,"Players: ((5, 2) facing (-1, 0) holding None, (1, 3) facing (0, 1) holding onion@(1, 3)), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 1]
7242,"Players: ((5, 2) facing (-1, 0) holding None, (1, 3) facing (0, 1) holding onion@(1, 3)), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[0 4]
7243,"Players: ((5, 2) facing (0, -1) holding None, (1, 3) facing (0, 1) holding onion@(1, 3)), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[5 2]
7244,"Players: ((5, 2) facing (0, -1) holding onion@(5, 2), (2, 3) facing (1, 0) holding onion@(2, 3)), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[3 2]
7245,"Players: ((5, 2) facing (-1, 0) holding onion@(5, 2), (3, 3) facing (1, 0) holding onion@(3, 3)), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 2]
7246,"Players: ((5, 2) facing (-1, 0) holding onion@(5, 2), (3, 3) facing (1, 0) holding onion@(3, 3)), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[5 2]
7247,"Players: ((5, 2) facing (-1, 0) holding None, (3, 3) facing (1, 0) holding onion@(3, 3)), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 2]
7248,"Players: ((5, 2) facing (-1, 0) holding None, (3, 3) facing (1, 0) holding onion@(3, 3)), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	2], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 5]
7249,"Players: ((5, 2) facing (-1, 0) holding None, (3, 3) facing (1, 0) holding None), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	3, soup@(4, 3)
Ingredients:	[onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[1 3]
7250,"Players: ((5, 3) facing (0, 1) holding None, (2, 3) facing (-1, 0) holding None), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	4, soup@(4, 3)
Ingredients:	[onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 3]
7251,"Players: ((5, 3) facing (0, 1) holding None, (1, 3) facing (-1, 0) holding None), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	5, soup@(4, 3)
Ingredients:	[onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[1 3]
7252,"Players: ((5, 3) facing (0, 1) holding None, (1, 3) facing (-1, 0) holding None), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	6, soup@(4, 3)
Ingredients:	[onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 3]
7253,"Players: ((5, 3) facing (0, 1) holding None, (1, 3) facing (-1, 0) holding None), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	7, soup@(4, 3)
Ingredients:	[onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[0 0]
7254,"Players: ((5, 2) facing (0, -1) holding None, (1, 2) facing (0, -1) holding None), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	8, soup@(4, 3)
Ingredients:	[onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[4 0]
7255,"Players: ((5, 2) facing (0, -1) holding None, (1, 1) facing (0, -1) holding None), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	9, soup@(4, 3)
Ingredients:	[onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[0 0]
7256,"Players: ((5, 2) facing (0, -1) holding None, (1, 1) facing (0, -1) holding None), Objects: [soup@(4, 2)
Ingredients:	[onion@(4, 2), onion@(4, 2), onion@(4, 2)]
Cooking Tick:	10, soup@(4, 3)
Ingredients:	[onion@(4, 3)]
Cooking Tick:	-1], Bonus orders: [] All orders: [('onion',), ('onion', 'onion'), ('onion', 'onion', 'onion'), ('tomato',), ('tomato', 'tomato'), ('tomato', 'tomato', 'tomato'), ('onion', 'tomato'), ('onion', 'onion', 'tomato'), ('onion', 'tomato', 'tomato')] Timestep: 0",[5 4]
